SolarPower,WindPower,NuclearPower
0.16541056095657647,0.37615286602058406,1.0
0.16999908109134385,0.3784386543250425,1.0
0.16625336051294137,0.3772822669984517,1.0
0.1673633313516589,0.38518016898815527,1.0
0.17380698358652794,0.3663702726603342,1.0
0.16567972175926965,0.40088617212701294,1.0
0.1601976902035694,0.39732190592070943,1.0
0.17247142403693394,0.37866220771275316,1.0
0.17135353208972728,0.37154292965364144,1.0
0.17381751392091854,0.37556923072287424,1.0
0.1703241786224966,0.38221632028679603,1.0
0.159544485296493,0.39788625918776105,1.0
0.16894367400230925,0.37279933722169595,1.0
0.1743891844718157,0.3729512351334448,1.0
0.1666522321721314,0.35989750570779977,1.0
0.17146226788057436,0.3819584751039382,1.0
0.17012574163333233,0.38298212726579467,1.0
0.17051289642396264,0.39590582679368985,1.0
0.1648120000729229,0.3887134736201928,1.0
0.17347589692661747,0.3841997912849731,1.0
0.16652111494494423,0.3939442167789837,1.0
0.1716712941603031,0.3770584612024795,1.0
0.17237641486985583,0.37559617738938283,1.0
0.16885041853087607,0.36322750327844877,1.0
0.16574401144160705,0.39656438383300563,1.0
0.16899253274532097,0.38425400621240924,1.0
0.16635126302800743,0.3532910068438228,1.0
0.1629830316793194,0.38618435231864684,1.0
0.17106799779875576,0.36704939555877397,1.0
0.17226226102555348,0.3769079120650729,1.0
0.16541056095657647,0.37615286602058406,1.0
0.16999908109134385,0.3784386543250425,1.0
0.16625336051294137,0.3772822669984517,1.0
0.1673633313516589,0.38518016898815527,1.0
0.17380698358652794,0.3663702726603342,1.0
0.16567972175926965,0.40088617212701294,1.0
0.1601976902035694,0.39732190592070943,1.0
0.17247142403693394,0.37866220771275316,1.0
0.17135353208972728,0.37154292965364144,1.0
0.17381751392091854,0.37556923072287424,1.0
0.1703241786224966,0.38221632028679603,1.0
0.159544485296493,0.39788625918776105,1.0
0.16894367400230925,0.37279933722169595,1.0
0.1743891844718157,0.3729512351334448,1.0
0.1666522321721314,0.35989750570779977,1.0
0.17146226788057436,0.3819584751039382,1.0
0.17012574163333233,0.38298212726579467,1.0
0.17051289642396264,0.39590582679368985,1.0
0.1648120000729229,0.3887134736201928,1.0
0.17347589692661747,0.3841997912849731,1.0
0.16541056095657647,0.37615286602058406,1.0
0.16999908109134385,0.3784386543250425,1.0
0.16625336051294137,0.3772822669984517,1.0
0.1673633313516589,0.38518016898815527,1.0
0.17380698358652794,0.3663702726603342,1.0
0.16567972175926965,0.40088617212701294,1.0
0.1601976902035694,0.39732190592070943,1.0
0.17247142403693394,0.37866220771275316,1.0
0.17135353208972728,0.37154292965364144,1.0
0.17381751392091854,0.37556923072287424,1.0
0.1703241786224966,0.38221632028679603,1.0
0.159544485296493,0.39788625918776105,1.0
0.16894367400230925,0.37279933722169595,1.0
0.1743891844718157,0.3729512351334448,1.0
0.1666522321721314,0.35989750570779977,1.0
0.17146226788057436,0.3819584751039382,1.0
0.17012574163333233,0.38298212726579467,1.0
0.17051289642396264,0.39590582679368985,1.0
0.1648120000729229,0.3887134736201928,1.0
0.17347589692661747,0.3841997912849731,1.0
0.16541056095657647,0.37615286602058406,1.0
0.16541056095657647,0.37615286602058406,1.0
0.16999908109134385,0.3784386543250425,1.0
0.16625336051294137,0.3772822669984517,1.0
0.1673633313516589,0.38518016898815527,1.0
0.17380698358652794,0.3663702726603342,1.0
0.16567972175926965,0.40088617212701294,1.0
0.1601976902035694,0.39732190592070943,1.0
0.16541056095657647,0.37615286602058406,1.0
0.16999908109134385,0.3784386543250425,1.0
0.16625336051294137,0.3772822669984517,1.0
0.16541056095657647,0.37615286602058406,1.0
0.16999908109134385,0.3784386543250425,1.0
0.16625336051294137,0.3772822669984517,1.0
0.1673633313516589,0.38518016898815527,1.0
0.17380698358652794,0.3663702726603342,1.0
0.16567972175926965,0.40088617212701294,1.0
0.1601976902035694,0.39732190592070943,1.0
